Name,Rating,Reviews,Salary,Jobs,Location
Optum Global Solutions,4.0,6.8k Reviews,43.3k Salaries,148 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +57 other locations
JPMorgan Chase & Co.,3.9,6.8k Reviews,77.2k Salaries,884 Jobs,Financial Services | Bangalore / Bengaluru +51 other locations
Delhivery,3.8,6.7k Reviews,19.7k Salaries,118 Jobs,Logistics | Gurgaon / Gurugram +708 other locations
Jana Small Finance Bank,3.8,6.7k Reviews,13.9k Salaries,17 Jobs,Banking | Bangalore / Bengaluru +393 other locations
Hexaware Technologies,3.5,6.6k Reviews,49.9k Salaries,209 Jobs,IT Services & Consulting | Chennai +66 other locations
Lupin,4.1,6.6k Reviews,21.8k Salaries,137 Jobs,Pharma | Pune +190 other locations
L&T Construction,4.0,6.6k Reviews,18.7k Salaries,-- Jobs,Engineering & Construction | Chennai +406 other locations
JSW Steel,3.9,6.5k Reviews,27.9k Salaries,98 Jobs,Iron & Steel | Ballari +172 other locations
Zydus Lifesciences,4.0,6.5k Reviews,19k Salaries,20 Jobs,Pharma | Ahmedabad +170 other locations
Hindustan Unilever,4.2,6.5k Reviews,19.4k Salaries,34 Jobs,FMCG | Mumbai +502 other locations
Equitas Small Finance Bank,4.4,6.4k Reviews,12.4k Salaries,1.6k Jobs,Banking | Chennai +433 other locations
Sun Pharmaceutical Industries,4.0,6.3k Reviews,22.1k Salaries,287 Jobs,Pharma | Vadodara +237 other locations
KPMG India,3.4,6.2k Reviews,57.9k Salaries,1.3k Jobs,Management Consulting | Bangalore / Bengaluru +104 other locations
ITC,3.9,6.2k Reviews,22.6k Salaries,97 Jobs,FMCG | Bangalore / Bengaluru +357 other locations
Ekart Logistics,3.9,6.1k Reviews,14.5k Salaries,-- Jobs,Bangalore / Bengaluru +702 other locations
Axis Max Life Insurance,4.1,6.1k Reviews,19k Salaries,327 Jobs,Insurance | New Delhi +464 other locations
Ujjivan Small Finance Bank,4.0,6k Reviews,11.8k Salaries,80 Jobs,Banking | Bangalore / Bengaluru +505 other locations
FIS,3.9,5.9k Reviews,37.9k Salaries,87 Jobs,FinTech | Pune +57 other locations
HCL Group,3.6,5.8k Reviews,44.2k Salaries,-- Jobs,IT Services & Consulting | Chennai +93 other locations
Tata Projects,4.2,5.8k Reviews,20.6k Salaries,22 Jobs,Engineering & Construction | Mumbai +265 other locations
Megha Engineering & Infrastructures,3.9,5.8k Reviews,17k Salaries,27 Jobs,Engineering & Construction | Hyderabad / Secunderabad +374 other locations
Indian Army,4.7,5.7k Reviews,9.3k Salaries,-- Jobs,Defence & Aerospace | New Delhi +349 other locations
IIFL Finance,4.0,5.7k Reviews,13.9k Salaries,48 Jobs,NBFC | Mumbai +755 other locations
Oracle,3.7,5.6k Reviews,58.1k Salaries,802 Jobs,Software Product | Bangalore / Bengaluru +54 other locations
L&T Technology Services,3.2,5.6k Reviews,39.8k Salaries,13 Jobs,IT Services & Consulting | Bangalore / Bengaluru +89 other locations
Coforge,3.3,5.5k Reviews,43.9k Salaries,330 Jobs,IT Services & Consulting | Noida +101 other locations
Bajaj Allianz Life Insurance,3.9,5.5k Reviews,16.5k Salaries,65 Jobs,Insurance | Pune +572 other locations
eClerx,3.2,5.5k Reviews,30.1k Salaries,1.5k Jobs,IT Services & Consulting | Pune +28 other locations
Muthoot Finance,3.6,5.5k Reviews,12.5k Salaries,307 Jobs,NBFC | Bangalore / Bengaluru +727 other locations
Virtusa Consulting Services,3.7,5.4k Reviews,54k Salaries,766 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +50 other locations
JLL,4.1,5.4k Reviews,22.2k Salaries,796 Jobs,Real Estate | Gurgaon / Gurugram +75 other locations
Omega Healthcare,3.7,5.4k Reviews,23.9k Salaries,239 Jobs,BPO | Chennai +63 other locations
HSBC Group,3.9,5.3k Reviews,38.6k Salaries,303 Jobs,Financial Services | Bangalore / Bengaluru +62 other locations
Indiamart Intermesh,3.6,5.3k Reviews,19.4k Salaries,574 Jobs,Internet | Noida +164 other locations
Udaan,3.9,5.2k Reviews,15.7k Salaries,6 Jobs,Internet | Bangalore / Bengaluru +349 other locations
Aurobindo Pharma,4.0,5.2k Reviews,20.9k Salaries,18 Jobs,Pharma | Hyderabad / Secunderabad +103 other locations
Cholamandalam Investment & Finance,3.9,5.2k Reviews,11.4k Salaries,14 Jobs,Financial Services | Chennai +761 other locations
Siemens,4.0,5.2k Reviews,31k Salaries,949 Jobs,Industrial Automation | Bangalore / Bengaluru +147 other locations
Shapoorji Pallonji Group,4.1,5.1k Reviews,14.9k Salaries,30 Jobs,Engineering & Construction | Mumbai +183 other locations
Standard Chartered,3.6,5.1k Reviews,40.3k Salaries,-- Jobs,Banking | Chennai +67 other locations
DMart,3.9,5.1k Reviews,16.6k Salaries,166 Jobs,Retail | Mumbai +231 other locations
Firstsource Solutions,3.6,5.1k Reviews,22.6k Salaries,71 Jobs,BPO | Bangalore / Bengaluru +68 other locations
CGI Group,4.0,5k Reviews,44.7k Salaries,103 Jobs,IT Services & Consulting | Bangalore / Bengaluru +42 other locations
GlobalLogic,3.6,5k Reviews,37.9k Salaries,41 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +54 other locations
ICICI Lombard General Insurance Company,3.6,5k Reviews,19k Salaries,169 Jobs,Insurance | Mumbai +295 other locations
Bosch Global Software Technologies,3.8,5k Reviews,37.7k Salaries,3 Jobs,IT Services & Consulting | Bangalore / Bengaluru +41 other locations
Apollo Hospitals,4.0,5k Reviews,15.7k Salaries,74 Jobs,Healthcare | Chennai +215 other locations
BigBasket,3.9,5k Reviews,17.4k Salaries,67 Jobs,Internet | Bangalore / Bengaluru +127 other locations
Ashok Leyland,4.1,4.9k Reviews,17.7k Salaries,-- Jobs,Automobile | Chennai +231 other locations
UST,3.8,4.9k Reviews,37.6k Salaries,121 Jobs,IT Services & Consulting | Bangalore / Bengaluru +48 other locations
Cyient,3.6,4.9k Reviews,26.3k Salaries,73 Jobs,IT Services & Consulting | Hyderabad / Secunderabad +43 other locations
Mahindra Finance,4.0,4.9k Reviews,11.5k Salaries,383 Jobs,NBFC | Mumbai +697 other locations
